regiao,uf,preco_medio_gasolina_c,volume_medio_gasolina_c_m3,volume_medio_etanol_hidratado_m3,participacao_media_etanol,variacao_media_preco,variacao_media_volume
CENTRO OESTE,MT,5.903216666666666,53683.08975,81046.25896666666,0.5989409265066146,0.006398704496749082,0.007107482254443635
CENTRO OESTE,GO,5.9879,124737.98233333332,126120.73095,0.5029654805040317,0.005988745646886621,0.009339747476687739
SUDESTE,SP,5.710616666666667,808228.0141,759930.1695000001,0.4836199965785352,0.0067280085836425455,0.008041801516245818
SUDESTE,MG,5.91105,372741.1212333333,182853.56948333333,0.33043585964743477,0.0055269597206431985,0.012332942158768028
SUDESTE,RJ,6.0379,188466.4239,68765.06326666666,0.2620301189229506,0.004474838234418945,0.010113468918567216
SUL,PR,5.974016666666667,264735.42723333335,90688.16683333334,0.25423953702563673,0.008109703372410867,0.009009060603538946
CENTRO OESTE,MS,5.7357499999999995,61616.4165,20884.277133333333,0.2475090069210059,0.005113858208931943,0.00573078407718702
NORTE,AM,6.33955,52406.227666666666,14132.465483333333,0.21097336172268558,0.009442370165488129,0.005488718627022134
NORDESTE,BA,6.116816666666667,191424.17706666666,45534.27538333333,0.19122307369089084,0.006748582420689414,0.007365031314699847
CENTRO OESTE,DF,5.998083333333333,83975.19483333334,18047.462133333334,0.1708076079480421,0.006603418422717292,0.00354609514917202
NORDESTE,PB,5.767333333333334,61565.18444999999,12575.073466666665,0.16818598596719128,0.0052618447988306465,0.006789515210137052
NORDESTE,PE,5.912133333333333,118933.52494999999,21960.209749999998,0.15522723773216254,0.005950864906037301,0.005668837025751855
NORDESTE,AL,5.947466666666667,41526.3526,6039.213516666667,0.12774945425929826,0.005614847928765708,0.007907042045364908
NORDESTE,PI,5.938633333333333,50999.331633333335,6141.15725,0.10862325890221669,0.005187708397957672,0.007324258050382104
NORDESTE,SE,6.0462,34102.47945,3738.1774,0.09772390229688102,0.007171007796925389,0.006050733236214591
NORDESTE,CE,6.037716666666666,126007.7172,13021.587683333333,0.09352419244279403,0.005515359986709499,0.007330343175824313
NORTE,TO,6.171266666666667,34625.848783333335,3546.015066666667,0.09134029724475952,0.005729649608651025,0.008756521596985766
NORDESTE,RN,6.1544,54534.60483333333,5249.156300000001,0.08902186770055348,0.004535460567642395,0.006587247463977698
SUDESTE,ES,5.977433333333334,84574.25111666667,8166.341683333333,0.08588323068666529,0.006811385922454335,0.004498041682279822
NORTE,AC,6.752633333333334,12465.567433333334,1101.1203333333333,0.07893197404576736,0.007008077940571529,0.004942226066672635
NORDESTE,MA,5.7326999999999995,88368.44403333333,4944.5144666666665,0.053172746648341256,0.005653247106913787,0.006141033735915304
NORTE,PA,5.959583333333333,114240.42563333333,6335.064216666667,0.050904860738447584,0.006167671654327563,0.006139381434475427
SUL,SC,5.932383333333333,253675.30060000002,13542.3047,0.04857234033917575,0.007064935691272567,0.0061419254580407385
NORTE,RO,6.333933333333333,38879.62421666667,1694.2843166666667,0.041025002814808614,0.007358648608136775,0.004636273460778919
NORTE,RR,6.17255,15122.734833333332,595.2080833333333,0.03647229917106702,0.008169857723770288,0.0048735607224752306
SUL,RS,5.882000000000001,309323.7314,6376.8213166666665,0.019491672741987327,0.005852482970648587,0.006776924029327817
NORTE,AP,5.52828813559322,16456.595779661016,113.47015254237287,0.006667757912180583,0.008204969013965321,0.006940371474316024
